Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Name-additional,no_accent_names,clean_end,no_period,clean_name
1230,AustinÿSlater,29,SFG,125,325,9,2,-1,-9,1,2,0.2,11,13,0.501,0.501,2.2,-0.8,22,slateau01,AustinÿSlater,AustinÿSlater,AustinÿSlater,austinslater
1235,DominicÿSmith*,27,NYM,58,152,-6,0,1,0,-3,-8,-0.9,5,-3,0.485,0.495,-0.4,-0.3,-3,smithdo02,DominicÿSmith*,DominicÿSmith,DominicÿSmith,dominicsmith
1238,JoshÿSmith*,24,TEX,73,253,-11,0,0,5,0,-6,-0.6,9,3,0.492,0.496,-0.3,0.5,-2,smithjo11,JoshÿSmith*,JoshÿSmith,JoshÿSmith,joshsmith
1239,KevinÿSmith,25,OAK,47,151,-8,1,-1,5,2,-1,-0.1,5,4,0.497,0.499,-0.2,0.7,-1,smithke05,KevinÿSmith,KevinÿSmith,KevinÿSmith,kevinsmith
1240,PavinÿSmith*,26,ARI,75,277,-4,1,1,1,-4,-5,-0.5,9,4,0.493,0.497,0.3,-0.3,3,smithpa04,PavinÿSmith*,PavinÿSmith,PavinÿSmith,pavinsmith
1242,WillÿSmith,27,LAD,137,578,16,-3,-1,5,6,23,2.5,20,43,0.518,0.515,3.8,1.2,38,smithwi05,WillÿSmith,WillÿSmith,WillÿSmith,willsmith
1243,CanaanÿSmith-Njigba*,23,PIT,3,7,0,0,0,-1,0,-1,-0.1,0,-1,0.469,0.499,0,-0.1,0,smithca05,CanaanÿSmith-Njigba*,CanaanÿSmith-Njigba,CanaanÿSmith-Njigba,canaansmith-njigba
1247,CollinÿSnider,26,KCR,2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,snideco01,CollinÿSnider,CollinÿSnider,CollinÿSnider,collinsnider
1249,NickÿSolak,27,TEX,35,95,1,-1,0,-3,-2,-4,-0.5,3,-1,0.487,0.497,0.2,-0.5,2,solakni01,NickÿSolak,NickÿSolak,NickÿSolak,nicksolak
1250,DonovanÿSolano,34,CIN,80,304,0,-2,0,4,-3,-1,0,10,10,0.499,0.499,0.5,0.1,6,solando01,DonovanÿSolano,DonovanÿSolano,DonovanÿSolano,donovansolano
1251,JorgeÿSoler,30,MIA,72,306,-1,-1,0,-1,-3,-6,-0.6,10,4,0.491,0.496,0.5,-0.4,5,solerjo01,JorgeÿSoler,JorgeÿSoler,JorgeÿSoler,jorgesoler
1253,EdmundoÿSosa,26,2TM,78,190,-3,2,-1,6,2,7,0.8,7,13,0.509,0.502,0.7,0.9,7,sosaed01,EdmundoÿSosa,EdmundoÿSosa,EdmundoÿSosa,edmundososa
1254,LenynÿSosa,22,CHW,11,36,-4,0,0,-2,0,-5,-0.6,1,-4,0.447,0.496,-0.3,-0.2,-2,sosale01,LenynÿSosa,LenynÿSosa,LenynÿSosa,lenynsosa
1256,JuanÿSoto*,23,2TM,153,664,39,-1,1,-2,-5,32,3.4,22,54,0.522,0.511,5.7,-0.7,56,sotoju01,JuanÿSoto*,JuanÿSoto,JuanÿSoto,juansoto
1257,LivanÿSoto*,22,LAA,18,59,5,0,0,0,1,6,0.6,2,8,0.535,0.504,0.8,0.1,8,sotoli01,LivanÿSoto*,LivanÿSoto,LivanÿSoto,livansoto
1259,StevenÿSouzaÿJr.,33,SEA,6,19,-2,0,0,0,0,-3,-0.4,1,-3,0.44,0.498,-0.3,0,-3,souzast01,StevenÿSouzaÿJr.,StevenÿSouzaÿJr.,StevenÿSouzaÿJr,stevensouzajr
1260,CoryÿSpangenberg*,31,STL,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,spangco01,CoryÿSpangenberg*,CoryÿSpangenberg,CoryÿSpangenberg,coryspangenberg
1262,GeorgeÿSpringer,32,TOR,133,583,21,5,1,-4,-2,22,2.3,19,41,0.517,0.514,4.6,-0.7,45,springe01,GeorgeÿSpringer,GeorgeÿSpringer,GeorgeÿSpringer,georgespringer
1265,JacobÿStallings,32,MIA,114,384,-15,-2,-2,-8,7,-20,-2,13,-6,0.482,0.487,0.1,0,2,stallja01,JacobÿStallings,JacobÿStallings,JacobÿStallings,jacobstallings
1268,GiancarloÿStanton,32,NYY,110,452,6,-2,-1,-4,-7,-8,-0.9,15,8,0.493,0.495,1.1,-1.2,12,stantmi03,GiancarloÿStanton,GiancarloÿStanton,GiancarloÿStanton,giancarlostanton
1270,MaxÿStassi,31,LAA,102,375,-17,-2,-1,-3,7,-16,-1.8,13,-3,0.483,0.489,-0.2,0.4,0,stassma01,MaxÿStassi,MaxÿStassi,MaxÿStassi,maxstassi
1271,JoshÿStaumont,28,KCR,2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,staumjo01,JoshÿStaumont,JoshÿStaumont,JoshÿStaumont,joshstaumont
1272,DrewÿSteckenrider,31,SEA,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,steckdr01,DrewÿSteckenrider,DrewÿSteckenrider,DrewÿSteckenrider,drewsteckenrider
1274,SpencerÿSteer,24,CIN,28,108,-4,0,0,1,0,-2,-0.2,4,1,0.491,0.498,0,0.1,0,steersp01,SpencerÿSteer,SpencerÿSteer,SpencerÿSteer,spencersteer
1275,MichaelÿStefanic,26,LAA,25,69,-5,0,0,2,1,-2,-0.2,2,0,0.491,0.499,-0.2,0.3,-2,stefami01,MichaelÿStefanic,MichaelÿStefanic,MichaelÿStefanic,michaelstefanic
1277,JacksonÿStephens,28,ATL,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,stephja01,JacksonÿStephens,JacksonÿStephens,JacksonÿStephens,jacksonstephens
1279,TylerÿStephenson,25,CIN,50,183,7,0,0,-1,3,9,1,6,15,0.519,0.506,1.6,0.2,16,stephty01,TylerÿStephenson,TylerÿStephenson,TylerÿStephenson,tylerstephenson
1280,CalÿStevenson*,25,OAK,23,71,-5,0,0,-1,0,-5,-0.5,2,-3,0.477,0.497,-0.2,-0.1,-1,steveca01,CalÿStevenson*,CalÿStevenson,CalÿStevenson,calstevenson
1281,DJÿStewart*,28,BAL,3,3,-1,0,0,0,0,-1,-0.1,0,-1,0.473,0.5,,0,-1,stewadj01,DJÿStewart*,DJÿStewart,DJÿStewart,djstewart
1282,TrevorÿStory,29,BOS,94,396,1,2,-1,6,3,11,1.2,14,25,0.513,0.507,1.9,1,19,storytr01,TrevorÿStory,TrevorÿStory,TrevorÿStory,trevorstory
1283,BrysonÿStott*,24,PHI,127,466,-9,1,3,-5,6,-3,-0.3,16,13,0.497,0.498,1.7,0.2,18,stottbr01,BrysonÿStott*,BrysonÿStott,BrysonÿStott,brysonstott
1285,KyleÿStowers*,24,BAL,34,98,0,0,0,-3,-1,-4,-0.5,3,-1,0.486,0.497,0.2,-0.5,2,stoweky01,KyleÿStowers*,KyleÿStowers,KyleÿStowers,kylestowers
1287,DeeÿStrange-Gordon*,34,WSN,22,59,-1,0,0,-4,1,-4,-0.5,2,-2,0.479,0.497,0.1,-0.3,2,gordode01,DeeÿStrange-Gordon*,DeeÿStrange-Gordon,DeeÿStrange-Gordon,deestrange-gordon
1290,MylesÿStraw,27,CLE,152,596,-23,4,5,17,4,7,0.7,20,27,0.505,0.505,0.9,2.3,10,strawmy01,MylesÿStraw,MylesÿStraw,MylesÿStraw,mylesstraw
1291,HunterÿStrickland,33,CIN,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,strichu01,HunterÿStrickland,HunterÿStrickland,HunterÿStrickland,hunterstrickland
1296,GarrettÿStubbs*,29,PHI,46,121,4,1,0,0,2,7,0.7,4,11,0.516,0.504,1.1,0.2,11,stubbga01,GarrettÿStubbs*,GarrettÿStubbs,GarrettÿStubbs,garrettstubbs
1297,EugenioÿSu rez,30,SEA,150,629,21,-1,-2,-2,2,17,1.8,21,39,0.512,0.511,4.2,-0.1,41,suareeu01,EugenioÿSuarez,EugenioÿSuarez,EugenioÿSuarez,eugeniosuarez
1302,ColeÿSulser,32,MIA,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,sulseco01,ColeÿSulser,ColeÿSulser,ColeÿSulser,colesulser
1304,JackÿSuwinski*,23,PIT,106,372,0,0,0,2,-3,-1,0,13,12,0.499,0.5,1,-0.1,10,suwinja01,JackÿSuwinski*,JackÿSuwinski,JackÿSuwinski,jacksuwinski
1305,KurtÿSuzuki,38,LAA,51,159,-7,-1,0,-3,3,-9,-1,5,-3,0.481,0.494,-0.1,-0.1,0,suzukku01,KurtÿSuzuki,KurtÿSuzuki,KurtÿSuzuki,kurtsuzuki
1306,SeiyaÿSuzuki,27,CHC,111,446,11,-1,0,-4,-3,3,0.4,15,18,0.503,0.502,2.2,-0.7,22,suzukse01,SeiyaÿSuzuki,SeiyaÿSuzuki,SeiyaÿSuzuki,seiyasuzuki
1307,TravisÿSwaggerty*,24,PIT,5,9,-2,0,0,0,0,-2,-0.2,0,-2,0.46,0.499,-0.2,0,-2,swaggtr01,TravisÿSwaggerty*,TravisÿSwaggerty,TravisÿSwaggerty,travisswaggerty
1308,DansbyÿSwanson,28,ATL,162,696,10,3,-1,9,10,31,3.3,23,54,0.52,0.52,4.5,2,45,swansda01,DansbyÿSwanson,DansbyÿSwanson,DansbyÿSwanson,dansbyswanson
1315,RaimelÿTapia*,28,TOR,128,433,-6,3,-1,-4,-3,-10,-1.1,15,5,0.492,0.494,0.9,-0.8,9,tapiara01,RaimelÿTapia*,RaimelÿTapia,RaimelÿTapia,raimeltapia
1317,DillonÿTate,28,BAL,2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,tatedi01,DillonÿTate,DillonÿTate,DillonÿTate,dillontate
1318,LeodyÿTaveras#,23,TEX,99,341,-4,-1,1,-2,2,-4,-0.4,12,8,0.496,0.497,1,0,10,taverle01,LeodyÿTaveras#,LeodyÿTaveras,LeodyÿTaveras,leodytaveras
1320,ChrisÿTaylor,31,LAD,118,454,-5,1,1,-2,-2,-8,-0.7,16,8,0.493,0.495,0.9,-0.4,10,tayloch03,ChrisÿTaylor,ChrisÿTaylor,ChrisÿTaylor,christaylor
1321,MichaelÿA.ÿTaylor,31,KCR,124,456,-6,-1,0,19,3,16,1.7,16,32,0.514,0.511,1.2,2.4,12,taylomi02,MichaelÿA.ÿTaylor,MichaelÿA.ÿTaylor,MichaelÿAÿTaylor,michaelataylor
1322,TyroneÿTaylor,28,MIL,120,405,0,0,-1,6,1,6,0.7,14,20,0.505,0.504,1.4,0.8,14,tayloty01,TyroneÿTaylor,TyroneÿTaylor,TyroneÿTaylor,tyronetaylor
1323,RowdyÿTellez*,27,MIL,153,599,7,-4,-3,-6,-7,-13,-1.3,20,8,0.491,0.492,1.3,-1.4,14,tellero01,RowdyÿTellez*,RowdyÿTellez,RowdyÿTellez,rowdytellez
1326,MattÿThaiss*,27,LAA,29,81,-2,0,0,-2,0,-3,-0.4,3,-1,0.488,0.498,0.1,-0.2,1,thaisma01,MattÿThaiss*,MattÿThaiss,MattÿThaiss,mattthaiss
1327,CalebÿThielbar,35,MIN,2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,thielca01,CalebÿThielbar,CalebÿThielbar,CalebÿThielbar,calebthielbar
1328,AlekÿThomas*,22,ARI,113,411,-13,2,1,6,3,-1,0,14,13,0.499,0.5,0.6,1,7,thomaal01,AlekÿThomas*,AlekÿThomas,AlekÿThomas,alekthomas
1329,CodyÿThomas*,27,OAK,10,32,-1,0,0,-2,0,-3,-0.3,1,-2,0.466,0.498,0,-0.2,0,thomaco01,CodyÿThomas*,CodyÿThomas,CodyÿThomas,codythomas
1330,DillonÿThomas*,29,LAA,8,14,-1,0,0,1,0,-1,-0.1,0,0,0.493,0.5,-0.1,0.1,-1,thomadi01,DillonÿThomas*,DillonÿThomas,DillonÿThomas,dillonthomas
1331,LaneÿThomas,26,WSN,146,548,2,-1,0,-1,-3,-3,-0.2,19,16,0.498,0.498,1.6,-0.4,17,thomala02,LaneÿThomas,LaneÿThomas,LaneÿThomas,lanethomas
1332,BubbaÿThompson,24,TEX,55,181,-6,2,0,0,-1,-5,-0.6,6,1,0.49,0.497,0.1,-0.2,1,thompbu01,BubbaÿThompson,BubbaÿThompson,BubbaÿThompson,bubbathompson
1336,TrayceÿThompson,31,2TM,80,255,10,1,0,2,-2,11,1.1,9,19,0.514,0.507,1.7,0,17,thomptr01,TrayceÿThompson,TrayceÿThompson,TrayceÿThompson,traycethompson
1342,MichaelÿToglia#,23,COL,31,120,-3,0,0,-1,-1,-5,-0.5,4,0,0.484,0.497,0,-0.2,1,toglimi01,MichaelÿToglia#,MichaelÿToglia,MichaelÿToglia,michaeltoglia
1343,Ka'aiÿTom*,28,SFG,1,1,0,0,0,0,0,0,0,0,0,0.472,0.5,0,0,0,tomka01,Ka'aiÿTom*,Ka'aiÿTom,Ka'aiÿTom,ka'aitom
1345,SpencerÿTorkelson,22,DET,110,404,-12,-2,-2,-3,-5,-24,-2.7,14,-10,0.476,0.484,-0.9,-0.9,-7,torkesp01,SpencerÿTorkelson,SpencerÿTorkelson,SpencerÿTorkelson,spencertorkelson
1346,AbrahamÿToro#,25,SEA,109,352,-16,-1,0,0,0,-17,-1.8,12,-4,0.483,0.489,-0.6,0,-4,toroab01,AbrahamÿToro#,AbrahamÿToro,AbrahamÿToro,abrahamtoro
1347,LuisÿTorrens,26,SEA,55,166,-5,-1,-1,0,2,-4,-0.4,6,2,0.492,0.497,0.1,0.2,2,torrelu01,LuisÿTorrens,LuisÿTorrens,LuisÿTorrens,luistorrens
1348,GleyberÿTorres,25,NYY,140,572,9,0,-2,9,4,20,2.1,20,40,0.515,0.513,3.1,1.4,31,torregl01,GleyberÿTorres,GleyberÿTorres,GleyberÿTorres,gleybertorres
1350,EzequielÿTovar,20,COL,9,35,-2,0,1,-3,1,-4,-0.4,1,-3,0.453,0.497,0,-0.3,0,tovarez01,EzequielÿTovar,EzequielÿTovar,EzequielÿTovar,ezequieltovar
1351,TaylorÿTrammell*,24,SEA,43,117,-1,0,0,2,-1,-1,-0.1,4,3,0.499,0.5,0.1,0.1,1,trammta01,TaylorÿTrammell*,TaylorÿTrammell,TaylorÿTrammell,taylortrammell
1353,AlanÿTrejo,26,COL,35,125,0,0,0,-3,2,-2,-0.2,4,2,0.493,0.499,0.5,-0.1,5,trejoal01,AlanÿTrejo,AlanÿTrejo,AlanÿTrejo,alantrejo
1354,JoseÿTrevino,29,NYY,115,353,-5,-1,1,9,7,10,1.1,12,22,0.51,0.507,1.3,1.7,13,trevijo01,JoseÿTrevino,JoseÿTrevino,JoseÿTrevino,josetrevino
1356,ChadwickÿTromp,27,ATL,1,4,2,0,0,0,0,2,0.2,0,2,0.66,0.501,0.2,0,2,trompch01,ChadwickÿTromp,ChadwickÿTromp,ChadwickÿTromp,chadwicktromp
1357,MikeÿTrout,30,LAA,119,499,43,-1,-1,0,3,44,4.6,17,61,0.539,0.528,6.3,0.3,61,troutmi01,MikeÿTrout,MikeÿTrout,MikeÿTrout,miketrout
1358,YoshiÿTsutsugo*,30,PIT,50,193,-14,-1,1,-4,-3,-21,-2.3,7,-15,0.454,0.486,-1.2,-0.7,-11,tsutsyo01,YoshiÿTsutsugo*,YoshiÿTsutsugo,YoshiÿTsutsugo,yoshitsutsugo
1359,ColeÿTucker#,25,PIT,18,63,-7,1,0,-4,0,-10,-1.1,2,-8,0.44,0.493,-0.5,-0.4,-4,tuckeco01,ColeÿTucker#,ColeÿTucker,ColeÿTucker,coletucker
1360,KyleÿTucker*,25,HOU,150,609,18,4,0,14,-5,31,3.3,21,52,0.522,0.521,3.9,0.9,38,tuckeky01,KyleÿTucker*,KyleÿTucker,KyleÿTucker,kyletucker
1362,JustinÿTurner,37,LAD,128,532,11,-3,-2,1,-3,4,0.5,18,22,0.503,0.503,2.1,-0.2,21,turneju01,JustinÿTurner,JustinÿTurner,JustinÿTurner,justinturner
1363,TreaÿTurner,29,LAD,160,708,16,3,1,-1,10,29,3.1,23,52,0.519,0.518,5.3,1,53,turnetr01,TreaÿTurner,TreaÿTurner,TreaÿTurner,treaturner
1368,JustinÿUpton,34,SEA,17,57,-3,-1,0,0,-1,-5,-0.5,2,-3,0.469,0.497,-0.3,-0.1,-3,uptonju01,JustinÿUpton,JustinÿUpton,JustinÿUpton,justinupton
1371,LuisÿUr¡as,25,MIL,119,472,7,0,-1,2,5,13,1.4,16,29,0.512,0.508,2.7,0.7,27,uriaslu01,LuisÿUrias,LuisÿUrias,LuisÿUrias,luisurias
1372,Ram¢nÿUr¡as,28,BAL,118,445,3,1,0,14,3,21,2.3,15,36,0.52,0.514,2.3,1.9,22,uriasra01,RamonÿUrias,RamonÿUrias,RamonÿUrias,ramonurias
1374,GioÿUrshela,30,MIN,144,551,9,-3,-3,4,3,11,1.2,19,30,0.508,0.507,2.6,0.7,26,urshegi01,GioÿUrshela,GioÿUrshela,GioÿUrshela,giourshela
1378,JoshÿVanMeter*,27,PIT,67,192,-10,1,0,-3,0,-12,-1.2,7,-5,0.481,0.492,-0.3,-0.3,-2,vanmejo01,JoshÿVanMeter*,JoshÿVanMeter,JoshÿVanMeter,joshvanmeter
1379,IldemaroÿVargas#,30,2TM,63,222,-1,0,0,5,2,6,0.7,8,14,0.511,0.504,0.9,0.8,9,vargail01,IldemaroÿVargas#,IldemaroÿVargas,IldemaroÿVargas,ildemarovargas
1380,MiguelÿVargas,22,LAD,18,50,-4,0,0,-1,-1,-6,-0.6,2,-4,0.465,0.496,-0.4,-0.2,-3,vargami01,MiguelÿVargas,MiguelÿVargas,MiguelÿVargas,miguelvargas
1382,DaultonÿVarsho*,25,ARI,151,592,5,3,1,18,0,27,2.9,20,47,0.519,0.517,2.9,2,29,varshda01,DaultonÿVarsho*,DaultonÿVarsho,DaultonÿVarsho,daultonvarsho
1384,AndrewÿVaughn,24,CHW,134,555,8,-2,0,-17,-7,-18,-1.9,19,1,0.486,0.488,1.8,-2.6,18,vaughan01,AndrewÿVaughn,AndrewÿVaughn,AndrewÿVaughn,andrewvaughn
1385,TerrinÿVavra*,25,BAL,40,103,-1,0,0,-1,-1,-3,-0.3,4,1,0.492,0.498,0.1,-0.2,2,vavrate01,TerrinÿVavra*,TerrinÿVavra,TerrinÿVavra,terrinvavra
1386,ChristianÿV zquez,31,2TM,119,426,-2,-5,-2,8,7,7,0.7,15,21,0.506,0.504,1.3,1.6,13,vazquch01,ChristianÿVazquez,ChristianÿVazquez,ChristianÿVazquez,christianvazquez
1388,AndrewÿVelazquez#,27,LAA,125,349,-19,3,1,11,6,2,0.2,12,14,0.502,0.502,0.2,1.8,3,velazan01,AndrewÿVelazquez#,AndrewÿVelazquez,AndrewÿVelazquez,andrewvelazquez
1389,NelsonÿVel zquez,23,CHC,77,206,-4,1,0,-8,-1,-13,-1.3,7,-6,0.483,0.492,0.2,-0.9,3,velazne01,NelsonÿVelazquez,NelsonÿVelazquez,NelsonÿVelazquez,nelsonvelazquez
1390,AlexÿVerdugo*,26,BOS,152,644,1,-2,2,-5,-5,-9,-1,22,13,0.494,0.494,1.7,-1.2,18,verdual01,AlexÿVerdugo*,AlexÿVerdugo,AlexÿVerdugo,alexverdugo
1397,MarkÿVientos,22,NYM,16,41,-2,0,0,0,-1,-3,-0.4,1,-2,0.478,0.498,-0.2,-0.1,-2,vientma01,MarkÿVientos,MarkÿVientos,MarkÿVientos,markvientos
1398,MattÿVierling,25,PHI,117,357,-8,-1,0,-6,-1,-16,-1.7,12,-4,0.485,0.489,0.1,-0.7,2,vierlma01,MattÿVierling,MattÿVierling,MattÿVierling,mattvierling
1399,DavidÿVillar,25,SFG,52,181,6,0,0,2,-1,7,0.8,6,13,0.515,0.505,1.1,0.2,11,villada01,DavidÿVillar,DavidÿVillar,DavidÿVillar,davidvillar
1400,JonathanÿVillar#,31,2TM,59,220,-10,2,1,-12,2,-18,-1.9,8,-11,0.468,0.493,0.1,-1.1,1,villajo01,JonathanÿVillar#,JonathanÿVillar,JonathanÿVillar,jonathanvillar
1401,MeibrysÿViloria*,25,TEX,26,75,-4,0,0,2,1,0,0,3,2,0.499,0.5,0,0.3,0,vilorme01,MeibrysÿViloria*,MeibrysÿViloria,MeibrysÿViloria,meibrysviloria
1403,DanielÿVogelbach*,29,2TM,130,461,13,-3,-2,0,-10,-1,-0.1,16,14,0.499,0.499,1.4,-1.1,14,vogelda01,DanielÿVogelbach*,DanielÿVogelbach,DanielÿVogelbach,danielvogelbach
1404,StephenÿVogt*,37,OAK,70,191,-8,0,0,-1,-2,-11,-1.2,7,-5,0.483,0.493,-0.5,-0.4,-3,vogtst01,StephenÿVogt*,StephenÿVogt,StephenÿVogt,stephenvogt
1405,LukeÿVoit,31,2TM,135,568,3,-4,-1,0,-10,-12,-1.1,19,8,0.491,0.496,0.7,-1,8,voitlu01,LukeÿVoit,LukeÿVoit,LukeÿVoit,lukevoit
1406,JasonÿVosler*,28,SFG,36,111,4,0,0,-7,1,-3,-0.3,4,1,0.492,0.498,0.8,-0.7,8,vosleja01,JasonÿVosler*,JasonÿVosler,JasonÿVosler,jasonvosler
1408,JoeyÿVotto*,38,CIN,91,376,-3,-2,-1,-2,-5,-13,-1.4,13,0,0.485,0.491,0,-0.7,2,vottojo01,JoeyÿVotto*,JoeyÿVotto,JoeyÿVotto,joeyvotto
1410,LaMonteÿWadeÿJr.*,28,SFG,77,251,-3,0,1,-1,-4,-7,-0.7,9,1,0.49,0.495,0.2,-0.5,2,wadela01,LaMonteÿWadeÿJr.*,LaMonteÿWadeÿJr.,LaMonteÿWadeÿJr,lamontewadejr
1411,TylerÿWade*,27,LAA,67,163,-9,0,1,-4,2,-11,-1.2,6,-5,0.483,0.493,-0.2,-0.3,-1,wadety01,TylerÿWade*,TylerÿWade,TylerÿWade,tylerwade
1415,ChristianÿWalker,31,ARI,160,667,20,-1,-1,17,-8,26,2.9,23,49,0.517,0.517,3.1,1,32,walkech02,ChristianÿWalker,ChristianÿWalker,ChristianÿWalker,christianwalker
1416,SteeleÿWalker*,25,TEX,5,16,-1,0,0,-1,0,-3,-0.3,1,-2,0.445,0.498,-0.1,-0.1,-1,walkest01,SteeleÿWalker*,SteeleÿWalker,SteeleÿWalker,steelewalker
1418,ChadÿWallach,30,LAA,12,40,-3,0,0,0,1,-3,-0.3,1,-1,0.477,0.498,-0.1,0.1,-1,wallach01,ChadÿWallach,ChadÿWallach,ChadÿWallach,chadwallach
1419,MattÿWallner*,24,MIN,18,65,0,0,0,-3,-1,-4,-0.4,2,-2,0.477,0.497,0.1,-0.4,1,wallnma01,MattÿWallner*,MattÿWallner,MattÿWallner,mattwallner
1420,TaylorÿWalls#,25,TBR,142,466,-19,2,1,19,7,9,1,16,25,0.507,0.506,0.5,2.8,6,wallsta01,TaylorÿWalls#,TaylorÿWalls,TaylorÿWalls,taylorwalls
1422,JaredÿWalsh*,28,LAA,118,454,-12,-1,1,-2,-5,-20,-2.2,16,-5,0.481,0.486,-0.4,-0.8,-3,walshja01,JaredÿWalsh*,JaredÿWalsh,JaredÿWalsh,jaredwalsh
1424,DonovanÿWalton*,28,2TM,25,78,-7,0,0,3,1,-3,-0.3,3,-1,0.486,0.498,-0.4,0.5,-4,waltodo01,DonovanÿWalton*,DonovanÿWalton,DonovanÿWalton,donovanwalton
1426,TaylorÿWard,28,LAA,135,564,23,1,0,-3,-4,16,1.7,19,36,0.513,0.511,4,-0.8,39,wardta01,TaylorÿWard,TaylorÿWard,TaylorÿWard,taylorward
1429,DrewÿWaters#,23,KCR,32,109,3,0,0,-2,-1,0,0,4,4,0.5,0.5,0.6,-0.3,6,waterdr01,DrewÿWaters#,DrewÿWaters,DrewÿWaters,drewwaters
1432,LukeÿWeaver,28,2TM,1,0,0,0,0,0,0,0,0,0,0,0.488,0.5,0,0,0,weavelu01,LukeÿWeaver,LukeÿWeaver,LukeÿWeaver,lukeweaver
1440,J.B.ÿWendelken,29,ARI,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,wendejb01,J.B.ÿWendelken,J.B.ÿWendelken,JBÿWendelken,jbwendelken
1441,JoeyÿWendle*,32,MIA,101,371,-6,0,1,12,4,11,1.2,13,23,0.511,0.507,1.1,1.7,11,wendljo01,JoeyÿWendle*,JoeyÿWendle,JoeyÿWendle,joeywendle
1445,EliÿWhite,28,TEX,47,117,-4,2,0,7,0,5,0.6,4,9,0.512,0.503,0.2,0.7,2,whiteel04,EliÿWhite,EliÿWhite,EliÿWhite,eliwhite
1447,AaronÿWhitefield,25,LAA,5,11,-3,0,0,0,0,-3,-0.3,0,-3,0.432,0.498,-0.3,0,-3,whiteaa01,AaronÿWhitefield,AaronÿWhitefield,AaronÿWhitefield,aaronwhitefield
1454,LukeÿWilliams,25,2TM,79,136,-5,1,0,0,-1,-6,-0.6,5,-1,0.492,0.497,-0.2,-0.1,-1,willilu01,LukeÿWilliams,LukeÿWilliams,LukeÿWilliams,lukewilliams
1455,TrevorÿWilliams,30,NYM,2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,willitr01,TrevorÿWilliams,TrevorÿWilliams,TrevorÿWilliams,trevorwilliams
1458,MarcusÿWilson,25,SEA,3,6,0,0,0,0,0,0,0,0,0,0.488,0.5,0,0,0,wilsoma02,MarcusÿWilson,MarcusÿWilson,MarcusÿWilson,marcuswilson
1462,JesseÿWinker*,28,SEA,136,547,5,-2,-1,-16,-5,-19,-2.1,19,0,0.485,0.487,1.5,-2.4,16,winkeje01,JesseÿWinker*,JesseÿWinker,JesseÿWinker,jessewinker
1463,PatrickÿWisdom,30,CHC,134,534,-2,1,0,-11,1,-11,-1.1,18,7,0.492,0.493,1.8,-1,18,wisdopa01,PatrickÿWisdom,PatrickÿWisdom,PatrickÿWisdom,patrickwisdom
1465,BobbyÿWittÿJr.,22,KCR,150,632,-2,5,1,-22,7,-11,-1.2,22,11,0.492,0.493,3.3,-1.6,33,wittbo02,BobbyÿWittÿJr.,BobbyÿWittÿJr.,BobbyÿWittÿJr,bobbywittjr
1467,TonyÿWolters*,30,LAD,2,4,-1,0,0,0,0,-1,-0.1,0,-1,0.442,0.499,-0.1,0,-1,wolteto01,TonyÿWolters*,TonyÿWolters,TonyÿWolters,tonywolters
1468,ConnorÿWong,26,BOS,27,56,-3,1,0,-2,1,-3,-0.3,2,-1,0.488,0.498,0.1,-0.1,1,wongco01,ConnorÿWong,ConnorÿWong,ConnorÿWong,connorwong
1469,KoltenÿWong*,31,MIL,134,497,8,0,1,-1,4,13,1.4,17,30,0.51,0.508,3.1,0.4,31,wongko01,KoltenÿWong*,KoltenÿWong,KoltenÿWong,koltenwong
1476,AustinÿWynns,31,SFG,65,177,-1,-1,-2,-1,3,-1,-0.1,6,5,0.498,0.499,0.5,0.2,6,wynnsau01,AustinÿWynns,AustinÿWynns,AustinÿWynns,austinwynns
1480,MikeÿYastrzemski*,31,SFG,148,558,-3,1,1,3,-1,1,0.2,19,20,0.501,0.501,1.6,0.2,17,yastrmi01,MikeÿYastrzemski*,MikeÿYastrzemski,MikeÿYastrzemski,mikeyastrzemski
1482,ChristianÿYelich*,30,MIL,154,671,7,3,2,-2,-7,3,0.4,22,25,0.502,0.502,2.7,-0.9,27,yelicch01,ChristianÿYelich*,ChristianÿYelich,ChristianÿYelich,christianyelich
1483,JuanÿYepez,24,STL,76,274,4,-1,0,-4,-4,-5,-0.5,9,4,0.493,0.496,0.8,-0.8,8,yepezju01,JuanÿYepez,JuanÿYepez,JuanÿYepez,juanyepez
